Número de Procedimiento,Testigo Social,Entidad Federativa,Descripción,Tipo de Procedimiento,Tipo de Contratación,Fecha Publicación,Estado,Adjudicado A,Monto Adjudicado
CFE-0604-CSAAN-0020-2024,NO,Baja California,ADQUISICIÓN DE ÁCIDOS PARA LAVADOS DE CALDERA Y EVPORADORES DE LA CT PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,03-06-2024,Adjudicado,"DISTRIBUIDORA QUIMICA DE SONORA SA DE CV,","$1,129,890.00"
CFE-0604-CSAAN-0019-2024,NO,Baja California,ADQUISICIÓN DE SELLOS MECÁNICOS Y COPLES PARA EVAPORADORES DE LA C.C.C PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,30-05-2024,Adjudicado,"BERATERIN SA DE CV, BMS COMPONENTES Y EQUIPOS INDUSTRIALES SA DE CV","$847,565.00"
CFE-0604-CSAAA-0016-2024,NO,Baja California,ADQUISICIÓN DE TUBERÍA PARA CALDERAS DE LA C.T. PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,30-05-2024,Adjudicado,"VIMA SUMINISTROS INDUSTRIALES SA DE CV,","$918,000.00"
CFE-0604-CSAAN-0018-2024,NO,Baja California,ADQUISICIÓN DE GABINETES PARA MANGUERAS CONTRAINCENDIO DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,24-05-2024,Adjudicado,"CONSERTEC CONSTRUCCIONES SAS DE CV,","$1,260,000.00"
CFE-0604-CSSAN-0022-2024,NO,Baja California,"SERVICIO DE LIMPIEZA Y PULIDO DE PISOS DE GRANITO, CEMENTO, LOSETA Y TILE DE LAS INTALACIONES DEL COMPLEJO PRESIDENTE JUÁREZ-SEGUNDO EVENTO",Concurso simplificado,Servicio por Abastecimiento,22-05-2024,Adjudicado,"NORBERTO TORRES VEA,","$1,868,250.00"
CFE-0604-CSAAN-0017-2024,NO,Baja California,ADQUISICIÓN DE ROPA DE TRABAJO 2024 PARA PERSONAL DE MANTENIMIENTO DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,20-05-2024,Desierto,,$0.00
CFE-0604-CSAAA-0015-2024,NO,Baja California,"ADQUISICIÓN DE BIRLOS PARA INTERCAMBIADORES DE CALOR MODELO M30 FG Y VT 180 B-12 DE UNIDADES 8, 9, 10 Y 11 DE LA C.C.C. PRESIDENTE JUÁREZ-SEGUNDO EVENTO",Concurso simplificado,Adquisición por Abastecimientos,20-05-2024,Adjudicado,"CRAC INDUSTRIAL SA DE CV,","$795,900.00"
CFE-0604-CSSAN-0021-2024,NO,Baja California,SERVICIO DE REPARACIÓN GENERAL DE MOTOR DIESEL DE ARRANQUE DE UNIDAD 1 C.T.G. TIJUANA,Concurso simplificado,Servicio por Abastecimiento,16-05-2024,Adjudicado,"AUTOSERVICIO CORDOVA SA DE CV,","$438,688.82"
CFE-0604-CSSAN-0020-2024,NO,Baja California,"SERVICIO DE LIMPIEZA Y PULIDO DE PISOS DE GRANITO, CEMENTO, LOSETA Y TILE DE LAS INTALACIONES DEL COMPLEJO PRESIDENTE JUÁREZ",Concurso simplificado,Servicio por Abastecimiento,15-05-2024,Desierto,,$0.00
CFE-0604-CSAAN-0016-2024,NO,Baja California,"ADQUISICIÓN DE COMPONENTES PARA VOLUTA DE AGUA DE ALIMENTACIÓN MODELO Y TAMAÑO 6X10-1/4 HDB-7P DE UNIDAD 5, DE LA C.T. PRESIDENTE JUÁREZ",Concurso simplificado,Adquisición por Abastecimientos,10-05-2024,Adjudicado,"SERVIPUMPS SA DE CV,","$576,400.00"
CFE-0604-CSAAN-0015-2024,NO,Baja California,ADQUISICIÓN DE INTERCAMBIADOR DE CALOR DE SALMUERA PARA EVAPORADOR 2 DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,09-05-2024,Adjudicado,"PROCESS FACTOR MEXICO SA DE CV,","$1,100,000.00"
CFE-0604-CSAAA-0014-2024,NO,Baja California,ADQUISICIÓN DE SISTEMA PROTECCIÓN CONTRA FALLAS A TIERRA,Concurso simplificado,Adquisición por Abastecimientos,08-05-2024,Adjudicado,"MAIKA INGENIERIA SA DE CV,","$1,750,000.00"
CFE-0604-CSSAN-0018-2024,NO,Baja California,SERVICIO DE ACONDICIONAMIENTO DE ACEITE DE LA C.T. PRESIDENTE JUÁREZ Y C.T.G. TIJUANA,Concurso simplificado,Servicio por Abastecimiento,07-05-2024,Adjudicado,"GERMAN SOTO JIMENEZ,","$1,829,160.49"
CFE-0604-CSAAN-0014-2024,NO,Baja California,"ADQUISICIÓN DE MATERIALES PARA REPARACIÓN DE BOMBAS DE AGUA DE MAR, CIRCUITO CERRADO Y ENFRIAMIENTO PRINCIPAL DE LAS UNIDADES 5 Y 6 DE LA C.T. PRESIDENTE JUÁREZ Y UNIDADES 10 Y 11 DE LA C.C.C. PTE JU",Concurso simplificado,Adquisición por Abastecimientos,03-05-2024,Adjudicado,"INOX VER SA DE CV,","$299,080.00"
CFE-0604-CSAAA-0013-2024,NO,Baja California,ADQUISICIÓN DE MATERIAL AISLANTE PARA CUBRIR LÍNEAS CONDUCTORAS DE FLUIDOS DE ALTA TEMPERATURA DE LAS UNIDADES DE CICLO COMBINADO DE LA CTPJ,Concurso simplificado,Adquisición por Abastecimientos,02-05-2024,Contrato Sin Formalizar,"AISLAMIENTO Y PROYECTOS DE INGENIERIA VEMOR SA DE CV,JORGE JOSUE CRUZ ALVAREZ,","$531,060.30"
CFE-0604-CSSAN-0017-2024,NO,Baja California,MANTENIMIENTO A BOMBAS DE AGUA DE ALIMENTACIÓN ¨A¨Y ¨C¨ DE U6 DE LA C.T PRESIDENTE JUÁREZ.,Concurso simplificado,Servicio por Abastecimiento,02-05-2024,Adjudicado,"GRUPO INDUSTRIAL GARCON SA DE CV,","$1,023,750.00"
CFE-0604-CSAAA-0012-2024,NO,Baja California,ADQUISICIÓN DE TUBERÍA PARA CALDERAS DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,30-04-2024,Desierto,,$0.00
CFE-0604-CSAAN-0013-2024,NO,Baja California,ADQUISICIÓN DE VÁLVULAS DE PARO DE TURBINA DE VAPOR DE 160 MW DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,30-04-2024,Adjudicado,"MAQUINADOS HEMAQ BAJA S DE RL DE CV,","$1,677,100.00"
CFE-0604-CSAAN-0012-2024,NO,Baja California,ADQUISICIÓN E INSTALACIÓN DE JUNTAS DE EXPANSIÓN PARA ESCAPE DE TURBINA DE GAS Y SUCCIÓN DE COMPRESOR AXIAL UNIDAD 9-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,26-04-2024,Adjudicado,"PROVEEDORA IBEROAMERICANA DE SERVICIOS Y REPRESENTACIONES COMERC,","$252,884.12"
CFE-0604-CSAAA-0011-2024,NO,Baja California,ADQUISICIÓN DE EQUIPOS PARA ANÁLISIS DE TRATAMIENTO QUÍMICO DE C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,25-04-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$592,032.00"
CFE-0604-CSAAA-0010-2024,NO,Baja California,"ADQUISICIÓN DE BIRLOS PARA INTERCAMBIADORES DE CALOR MODELO M30 FG Y VT 180 B-12 DE UNIDADES 8, 9, 10 Y 11 DE LA C.C.C. PRESIDENTE JUÁREZ",Concurso simplificado,Adquisición por Abastecimientos,19-04-2024,Desierto,,$0.00
CFE-0604-CSAAN-0011-2024,NO,Baja California,"ADQUISICIÓN DE MATERIALES PARA REPARACIÓN DE BOMBAS DE AGUA DE MAR, CIRCUITO CERRADO Y ENFRIAMIENTO PRINCIPAL DE LAS UNIDADES 5 Y 6 DE LA C.T. PTE. JUÁREZ Y UNIDADES 10 Y 11 DE LA C.C.C. PTE. JUÁREZ",Concurso simplificado,Adquisición por Abastecimientos,17-04-2024,Adjudicado,"VAESYCO INDUSTRIAL Y MINERO SA DE CV,","$114,554.74"
CFE-0604-CSSAN-0016-2024,NO,Baja California,SERVICIO DE AGUA PURIFICADA PARA EL CONSUMO DE LOS TRABAJADORES DE LA CENTRAL TERMOELECTRICA PRESIDENTE JUÁREZ SEGUNDO EVENTO,Concurso simplificado,Servicio por Abastecimiento,17-04-2024,Adjudicado,"COMPAÑIA EMBOTELLADORA DEL FUERTE S DE RL DE CV,","$149,730.00"
CFE-0604-CSSAN-0015-2024,NO,Baja California,SERVICIO DE JARDINERÍA PARA LA CONSERVACIÓN DE JARDINES Y MANTENIMIENTO DE PATIOS DE LAS INSTALACIONES DEL COMPLEJO PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,15-04-2024,Adjudicado,"MARIA CECILIA CUENCA CALPE,","$1,857,000.00"
CFE-0604-CSAAN-0010-2024,NO,Baja California,ADQUISICION E INSTALACIÓN DE JUNTAS DE EXPANSIÓN PARA ESCAPE DE TURBINA DE GAS Y SUCCIÓN DE COMPRESOR AXIAL UNIDAD 9,Concurso simplificado,Adquisición por Abastecimientos,11-04-2024,Adjudicado,"PROVEEDORA IBEROAMERICANA DE SERVICIOS Y REPRESENTACIONES COMERC,","$491,946.71"
CFE-0604-CSSAN-0014-2024,NO,Baja California,SERVICIO DE AGUA PURIFICADA PARA EL CONSUMO DE LOS TRABAJADORES DE LA CENTRAL TERMOELECTRICA PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,11-04-2024,Desierto,,$0.00
CFE-0604-CSSAN-0013-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO Y CALIBRACIÓN EN LÍNEA DE VALVULAS DE SEGURIDAD DE GENERADOR DE VAPOR DE UNIDAD 5 Y 6 DE LA C.T. PRESIDENTE JUÁREZ Y RECUPERADOR DE CALOR DE UNIDAD 10 Y 11 DE LA C.C.C PRESID,Concurso simplificado,Servicio por Abastecimiento,08-04-2024,Adjudicado,"RM LAVORATI SA DE CV,","$1,577,011.10"
CFE-0604-CSSAN-0012-2024,NO,Baja California,SERVICIO ANUAL PARA LA RECOLECCIÓN DE RESIDUOS SÓLIDOS URBANOS DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,08-04-2024,Adjudicado,"NORBERTO TORRES VEA,","$375,000.00"
CFE-0604-CSSAN-0011-2024,NO,Baja California,"SERVICIO MONITOREO DE EMISIONES DE GASES ATMOSFERA DE CHIMENEA DE FUENTES FIJAS, RUIDO PERIMETRAL Y ANÁLISIS CRETI DE LA CENTRAL TERMOELÉCTRICA PRESIDENTE JUÁREZ",Concurso simplificado,Servicio por Abastecimiento,04-04-2024,Adjudicado,"LABORATORIOS ABC QUIMICA INVESTIGACION Y ANALISIS SA DE CV,","$217,832.00"
CFE-0604-CSSAN-0010-2024,NO,Baja California,SERVICIO DE REPARACION DE FUGA TRANSFORMADOR PRINCIPAL CTG CIPRES,Concurso simplificado,Servicio por Abastecimiento,03-04-2024,Adjudicado,"RESERVIMEX SA DE CV,","$250,000.00"
CFE-0604-CSSAN-0009-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO A MOTOR DIESEL DE ARRANQUE DE UNIDAD 1 CTG CIPRES,Concurso simplificado,Servicio por Abastecimiento,26-03-2024,Adjudicado,"CENTRO DE INGENIERIA ALEXANDER SA DE CV,","$93,500.00"
CFE-0604-CSSAN-0008-2024,NO,Baja California,SERVICIO DE LAVADO HIDRODINAMICO DE ELEMENTOS DEL GENERADOR DE VAPOR DE LA UNIDAD 5 Y 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,22-03-2024,Adjudicado,"OLGA LORENA PADILLA GALVAN,","$930,000.00"
CFE-0604-CSSAN-0006-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO PREVENTIVO MOTORES ELÉCTRICOS DE 4.16KV DE LA UNIDAD 8 DE C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,15-03-2024,Adjudicado,"RECONSTRUCTORA ALPHA SA DE CV,","$1,299,117.30"
CFE-0604-CSSAN-0007-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO MOTORES ELÉCTRICOS DE LA CTG CIPRÉS,Concurso simplificado,Servicio por Abastecimiento,15-03-2024,Adjudicado,"ELECTROEMBOBINADOS DEL PACIFICO S DE RL DE CV,","$262,500.00"
CFE-0604-CSAAN-0008-2024,NO,Baja California,"ADQUISICIÓN DE ESCOBILLAS PARA GENERADORES ELÉCTRICOS DE LA C.T. PRESIDENTE JUÁREZ, C.C.C. PRESIDENTE JUÁREZ Y C.T.G. TIJUANA",Concurso simplificado,Adquisición por Abastecimientos,11-03-2024,Adjudicado,"ESCOBILLA INDUSTRIAL SA DE CV,MERSEN MEXICO MONTERREY S DE RL DE CV,","$649,500.00"
CFE-0604-CSAAN-0007-2024,NO,Baja California,ADQUISICIÓN DE CHAMARRAS DE PIEL 2024 PARA EL PERSONAL DE LA CENTRAL PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,07-03-2024,Adjudicado,"FENIGIA ZEFER SA DE CV,","$605,775.00"
CFE-0604-CSAAA-0009-2024,NO,Baja California,ADQUISICIÓN DE POSICIONADORES PARA VÁLVULAS DE CONTROL PARA VÁLVULAS DE CONTROL PARA LA CENTRAL CICLO COMBINADO PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,01-03-2024,Adjudicado,"IQ AUTOMATIZACION Y CONTROL SA DE CV,","$1,317,845.91"
CFE-0604-CSAAA-0008-2024,NO,Baja California,ADQUISICIÓN DE VÁLVULAS REGULADORAS DE TEMPERATURA Y VÁLVULA SECUENCIADOR DEL VIRADOR PARA LA CENTRAL TURBOGAS TIJUANA,Concurso simplificado,Adquisición por Abastecimientos,01-03-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$1,677,759.12"
CFE-0604-CSSAN-0004-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO PREVENTIVO A LA GRÚA PUENTE DE CASA DE MÁQUINAS U8 DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,27-02-2024,Adjudicado,"CONSORCIO CONSTRUCTIVO Y DE MANTENIMIENTO REVILLA SA DE CV,","$1,337,000.00"
CFE-0604-CSAAA-0007-2024,NO,Baja California,ADQUISICIÓN DE SUSTANCIAS QUÍMICAS GRADO ANALÍTICO E INDUSTRIAL 2024 CTPJ-TERCER EVENTO,Concurso simplificado,Adquisición por Abastecimientos,26-02-2024,Adjudicado,"LAUKA MEXICANA SA DE CV,REACTIVOS Y EQUIPO SA DE CV,","$300,380.00"
CFE-0604-CSABN-0001-2024,NO,Baja California,ARRENDAMIENTO DE GRÚA Y PLATAFORMA ARTICULADA PARA ATENCIÓN A EVAPORADORES DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Arrendamiento de Bienes,22-02-2024,Adjudicado,"OLGA LORENA PADILLA GALVAN,","$1,691,000.00"
CFE-0604-CSAAN-0006-2024,NO,Baja California,ADQUISICIÓN DE EQUIPO DE PROTECCIÓN PERSONAL DE LA C.T. PRESIDENTE JUÁREZ 2024,Concurso simplificado,Adquisición por Abastecimientos,21-02-2024,Adjudicado,"SERGO EQUIPOS Y HERRAMIENTAS SA DE CV, RAYHSA VALLEJO SA DE CV, TECNOLOGIA MATERIALES Y EQUIPOS INDUSTRIALES SA DE CV, VAESYCO INDUSTRIAL Y MINERO SA DE CV, AMJ EQUIPO INDUSTRIAL SA DE CV, CONSTRUCTORA INNOVADORA DEL NOROESTE SA DE CV","$491,362.50"
CFE-0604-CSSAN-0003-2024,NO,Baja California,"SERVICIO DE REPARACIÓN DE UN MOTOR ELÉCTRICO DE BOMBA AGUA DE ALIMENTACION ""A"" DE LA U5 DE LA C.T. PRESIDENTE JUÁREZ",Concurso simplificado,Servicio por Abastecimiento,21-02-2024,Adjudicado,"ALS INDTECH SA DE CV,","$440,000.00"
CFE-0604-CSAAN-0005-2024,NO,Baja California,ADQUISICIÓN DE MATERIAL DE LIMPIEZA PARA LA C.T. PRESIDENTE JUÁREZ 2024,Concurso simplificado,Adquisición por Abastecimientos,19-02-2024,Adjudicado,"MARIA CECILIA CUENCA CALPE,","$1,304,500.00"
CFE-0604-CSSAN-0002-2024,NO,Baja California,SERVICIO DE RECARGA Y MANTENIMIENTO A EXTINTORES DE LA C.T. PRESIDENTE JUÁREZ 2024- SEGUNDO EVENTO,Concurso simplificado,Servicio por Abastecimiento,14-02-2024,Adjudicado,"MARCILLA E HIJOS SA DE CV,","$488,122.00"
CFE-0604-CSAAA-0006-2024,NO,Baja California,ADQUISICIÓN DE TRAPO Y MATERIAL ABSORBENTE PARA LA CT PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,13-02-2024,Adjudicado,"TORNILLOS Y MANGUERAS DE SONORA SA DE CV,INOX VER SA DE CV,VAESYCO INDUSTRIAL Y MINERO SA DE CV,","$240,750.00"
CFE-0604-CSAAA-0005-2024,NO,Baja California,ADQUISICIÓN DE PORTAESCOBILLAS PARA GENERADORES ELÉCTRICOS DE LA UNIDAD 3 DE LA CENTRAL TURBOGAS TIJUANA Y DE LA UNIDAD 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,09-02-2024,Adjudicado,"ESCOBILLA INDUSTRIAL SA DE CV,MERSEN MEXICO MONTERREY S DE RL DE CV,","$1,027,200.00"
CFE-0604-CSSAN-0001-2024,NO,Baja California,SERVICIO DE LIMPIEZA DE CAJAS Y FLUXERÍA CONDESADORES DE LA C.T. Y C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,08-02-2024,Adjudicado,"CENTRO DE INGENIERIA ALEXANDER SA DE CV,NORBERTO TORRES VEA,OLGA LORENA PADILLA GALVAN,","$878,800.00"
CFE-0604-CSAAA-0004-2024,NO,Baja California,ADQUISICION DE SISTEMA DE FILTRACION PARA EVAPORADOR 1-2 DE C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,07-02-2024,Adjudicado,"J A DIAZ Y CIA SA DE CV,","$1,985,737.00"
CFE-0604-CSAAN-0003-2024,NO,Baja California,ADQUISICIÓN DE PAPELERIA PARA LA C.T PRESIDENTE JUÁREZ 2024,Concurso simplificado,Adquisición por Abastecimientos,06-02-2024,Adjudicado,"DAVLU DISTRIBUIDORA SA DE CV,","$379,492.90"
CFE-0604-CSAAA-0003-2024,NO,Baja California,ADQUISICIÓN DE RESINAS ANIONICAS Y CATONICAS 2024 CTPJ,Concurso simplificado,Adquisición por Abastecimientos,02-02-2024,Adjudicado,"PROFILQUIM DE MEXICO SA DE CV,K E N T H O QUIMICA DE MONTERREY SA DE CV,","$712,289.29"
CFE-0604-CSAAA-0002-2024,NO,Baja California,ADQUISICIÓN DE CALDERA ELECTRICA PARA EVAPORADORES DE AGUA DE MAR 5-6 DE CT PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,01-02-2024,Adjudicado,"IBS AMERICA MEXICO SA DE CV,","$851,800.30"
CFE-0604-CSAAN-0002-2024,NO,Baja California,ADQUISICIÓN DE MATERIAL DE LABORATORIO DE LA C.T. PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,31-01-2024,Adjudicado,"LAUKA MEXICANA SA DE CV,","$204,108.65"
CFE-0604-CSSAA-0001-2024,NO,Baja California,"SERVICIO DE BOROSCOPIA Y SINTONIZACIÓN UNIDADES AERODERIVADAS 4, 5 Y 6 MODELO LM6000 DE LA CENTRAL TURBOGAS TIJUANA",Concurso simplificado,Servicio por Abastecimiento,30-01-2024,Adjudicado,"TURBOALEACIONES SA DE CV,","$1,053,000.00"
CFE-0604-CSAAN-0001-2024,NO,Baja California,ADQUISICIÓN DE CALZADO DE PROTECCIÓN DIELÉCTRICA 2024 PARA EL PERSONAL DE LA CENTRAL PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,29-01-2024,Adjudicado,"COMANDO SA DE CV,","$1,084,285.80"
CFE-0604-CSAAA-0001-2024,NO,Baja California,ADQUISICIÓN DE SUSTANCIAS QUÍMICAS GRADO ANALITICO E INDUSTRIAL 2024 CTPJ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,26-01-2024,Adjudicado,"K E N T H O QUIMICA DE MONTERREY SA DE CV, DISTRIBUIDORA QUIMICA DE SONORA SA DE CV, LAUKA MEXICANA SA DE CV","$784,757.21"
CFE-0604-CSAAN-0052-2023,NO,Baja California,ADQUISICIÓN DE HERRAMIENTAS PARA DEPARTAMENTO ELÉCTRICO DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,21-12-2023,Adjudicado,"CONSTRUCTORA INNOVADORA DEL NOROESTE SA DE CV,DAFNE VARGAS DIAZ,FERNANDO BERNAL CUEVAS,GRUPO FERRETERIA CALZADA SA DE CV,INTEGRADORA DE SERVICIOS Y ADQUISICIONES DE MEXICO SA DE CV,P&R INDUSTRIAL S DE RL DE CV,PROCESS FACTOR MEXICO SA DE CV,TECNOLOGIA MATERIALES Y EQUIPOS INDUSTRIALES SA DE CV,TORNILLOS Y MANGUERAS DE SONORA SA DE CV,","$1,129,765.75"
CFE-0604-CSAAA-0039-2023,NO,Baja California,"ADQUISICIÓN DE SERVOVALVULAS PARA LAS CENTRALES CICLO COMBINADO, TERMOELECTRICA PRESIDENTE JUÁREZ Y TURBOGAS TIJUANA",Concurso simplificado,Adquisición por Abastecimientos,21-12-2023,Adjudicado,"CNR INDUSTRIES DE MEXICO SA DE CV,","$1,477,000.00"
CFE-0604-CSAAN-0053-2023,NO,Baja California,ADQUISICIÓN DE ENGRANE MOTRÍZ PARA PRECALENTADORES DE AIRE REGENERATIVOS DE UNIDAD 5 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,21-12-2023,Adjudicado,"HECTOR ALBERTO RAMIREZ CORRAL,","$726,429.00"
CFE-0604-CSAAN-0051-2023,NO,Baja California,ADQUISICIÓN DE MATERIALES Y CONSUMIBLES PARA EL DEPARTAMENTO ELÉCTRICO DE LA C.C.C. PRESIDENTE JUAREZ,Concurso simplificado,Adquisición por Abastecimientos,21-12-2023,Adjudicado,"CONSTRUCTORA INNOVADORA DEL NOROESTE SA DE CV,ELECTRICA VIRGO SA DE CV,FERNANDO BERNAL CUEVAS,GEEESY TOOLS & MORE S DE RL DE CV,GRUPO FERRETERIA CALZADA SA DE CV,INTEGRADORA DE SERVICIOS Y ADQUISICIONES DE MEXICO SA DE CV,JESUS ALBERTO PALAFOX SALCIDO,XHITAO SA DE CV,","$302,996.40"
CFE-0604-CSAAA-0033-2023,NO,Baja California,ADQUISICIÓN DE BOMBAS DIVERSAS PARA SISTEMAS DE ACEITE DE CONTROL Y DE VACÍO DE LAS UNIDADES 5 Y 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,21-12-2023,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$722,251.24"
CFE-0604-CSAAA-0038-2023,NO,Baja California,"ADQUISICION DE VÁLVULAS SOLENOIDES DE PILOTAJE Y SUS ENSAMBLES PARA ACTUADORES DE VÁLVULAS DE CONTROL, SANGRADOS Y VENTEOS PARA LAS UNIDADES DE LA C.C.C. Y C.T. PRESIDENTE JUÁREZ",Concurso simplificado,Adquisición por Abastecimientos,21-12-2023,Adjudicado,"NAOKURE MEX SA DE CV,PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,XHITAO SA DE CV,","$1,522,394.66"
CFE-0604-CSSAA-0006-2023,NO,Baja California,ADQUISICIÓN DE TRANSMISORES DE PRESIÓN DIFERENCIAL PARA UNIDADES 5 Y 6 DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,20-12-2023,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$425,638.38"
CFE-0604-CSSAN-0053-2023,NO,Baja California,SERVICIO DE RECARGA Y MANTENIMIENTO A EXTINTORES DE LA C.T. PRESIDENTE JUÁREZ 2024,Concurso simplificado,Servicio por Abastecimiento,20-12-2023,Desierto,,$0.00
CFE-0604-CSAAA-0036-2023,NO,Baja California,ADQUISICIÓN DE CONSUMIBLES PARA EL DEPARTAMENTO DE PROTECCIONES DE LA CTPJ,Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"DACO MULTIMEDICION INDUSTRIAL SA DE CV,JESUS ALBERTO PALAFOX SALCIDO,WIRELESS ENERGY SA DE CV,","$90,116.35"
CFE-0604-CSAAN-0046-2023,NO,Baja California,ADQUISICIÓN DE MATERIAL DE LABORATORIO DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"LAUKA MEXICANA SA DE CV,","$35,864.10"
CFE-0604-CSAAN-0047-2023,NO,Baja California,ADQUISICIÓN DE RELEVADORES AUXILIARES DE DISPARO CON BLOQUEO SOSTENIDO Y REPOSICION MANUAL TIPO ROTATIVO,Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"TECNOLOGIA MATERIALES Y EQUIPOS INDUSTRIALES SA DE CV,","$474,887.40"
CFE-0604-CSAAN-0050-2023,NO,Baja California,"ADQUISICIÓN DE INTERNOS PARA BOMBAS DE AGUA DE CIRCULACIÓN DE LAS UNIDADES 5, 6, 10 Y 11 DE LA C.T. Y C.C.C. PRESIDENTE JUÁREZ",Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"MAQUINARIA DOGA SA DE CV,","$572,112.48"
CFE-0604-CSAAA-0037-2023,NO,Baja California,ADQUISICIÓN DE DETECTORES DE FLAMA PARA UNIDADES 1 Y 2 DE C.T.G. TIJUANA,Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$528,732.00"
CFE-0604-CSAAA-0035-2023,NO,Baja California,ADQUISICIÓN DE FILTROS PARA SUCCIÓN DE AIRE DE COMPRESORES AXIALES DE TURBINA DE GAS DE LAS UNIDADES 1 Y 2 DE LA C.T.G. TIJUANA,Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$481,888.80"
CFE-0604-CSAAA-0032-2023,NO,Baja California,ADQUISICIÓN DE EQUIPO DE DOSIFICACIÓN DE ÁCIDO Y SOSA EN PULIDORES DE LA C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,20-12-2023,Adjudicado,"VIMA SUMINISTROS INDUSTRIALES SA DE CV,","$697,600.00"
CFE-0604-CSAAA-0034-2023,NO,Baja California,SUSTANCIAS QUÍMICAS GRADO ANALÍTICO E INDUSTRIAL 2024 CTPJ,Concurso simplificado,Adquisición por Abastecimientos,19-12-2023,Adjudicado,"REACTIVOS Y EQUIPO SA DE CV,","$35,520.00"
